zip,compid,compname,comrate,indrate,resrate
01105,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01106,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01106,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01106,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01107,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01108,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01108,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01109,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01118,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01118,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01119,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01128,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01128,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01129,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01129,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01151,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01151,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01201,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01201,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01201,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
01220,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01220,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01222,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01222,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01223,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01224,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01225,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01225,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01226,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01226,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01229,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01230,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01230,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01235,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01236,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01237,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01237,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01238,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01238,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01240,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01240,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01242,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01242,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01243,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01245,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01245,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01247,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01247,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01247,7601,Green Mountain Power Corp.,109.59,75.73,132.56
01253,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01254,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01254,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01255,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01255,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01255,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01256,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01256,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01257,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01258,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01259,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01259,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01259,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01260,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01262,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01264,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01266,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01266,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01267,7601,Green Mountain Power Corp.,109.59,75.73,132.56
01267,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01267,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01267,3292,Central Vermont Public Service Corp.,117.59,81.45,129.78
01270,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01270,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01301,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01330,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01330,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01331,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01337,7601,Green Mountain Power Corp.,109.59,75.73,132.56
01337,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01337,3292,Central Vermont Public Service Corp.,117.59,81.45,129.78
01338,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
