STATE,LIBNAME,ADDRESS,CITY,ZIP,CNTY,SQ_FEET,HOURS,WKS_OPEN,LONGITUD,LATITUDE
VA,BOYDTON HEADQUARTERS,316 WASHINGTON ST.,BOYDTON,23917,MECKLENBURG,3800,-1,-1,-78.388167,36.66446
VA,STAUNTON PUBLIC LIBRARY,1 CHURCHVILLE AVENUE,STAUNTON,24401,STAUNTON,29700,-1,-1,-79.072707,38.15591
VA,MORGAN MEMORIAL LIBRARY,443 W. WASHINGTON ST.,SUFFOLK,23434,SUFFOLK (CITY),15984,-1,-1,-76.589184,36.72962
VA,SUFFOLK PUBLIC LIBRARY BOOKMOBILE,443 W. WASHINGTON STREET,SUFFOLK,23434,SUFFOLK,-3,-1,-1,-76.589184,36.729629
VA,NORTH SUFFOLK LIBRARY,2000 BENNETT'S CREEK PARK ROAD,SUFFOLK,23435,SUFFOLK,1900,-1,-1,-76.46923,36.84793
VA,CHUCKATUCK LIBRARY STATION,5881 GODWIN BLVD.,SUFFOLK,23432,SUFFOLK,1300,-1,-1,-76.581801,36.85844
VA,TAZEWELL COUNTY PUBLIC LIBRARY - MAIN LIBRARY,310 E. MAIN STREET,TAZEWELL,24651,TAZEWELL,10126,-1,-1,-81.518741,37.11615
VA,TAZEWELL COUNTY PUBLIC LIBRARY-BLUEFIELD BRANCH,108 HUFFARD DRIVE,BLUEFIELD,24605,TAZEWELL,7500,-1,-1,-81.262765,37.23494
VA,TAZEWELL COUNTY PUBLIC LIBRARY - RICHLANDS BRANCH,102 SUFFOLK AVENUE,RICHLANDS,24641,TAZEWELL,7900,-1,-1,-81.798274,37.09347
VA,CENTRAL LIBRARY,4100 VIRGINIA BEACH BOULEVARD,VIRGINIA BEACH,23452,VIRGINIA BEACH,95000,-1,-1,-76.116003,36.8426
VA,BAYSIDE AREA LIBRARY,936 INDEPENDENCE BOULEVARD,VIRGINIA BEACH,23455,VIRGINIA BEACH,18000,-1,-1,-76.133083,36.8691
VA,KEMPSVILLE AREA LIBRARY,832 KEMPSVILLE ROAD,VIRGINIA BEACH,23464,VIRGINIA BEACH,22100,-1,-1,-76.164216,36.8155
VA,OCEANFRONT AREA LIBRARY,700 VIRGINIA BEACH BOULEVARD,VIRGINIA BEACH,23451,VIRGINIA BEACH,16000,-1,-1,-75.983179,36.8438
VA,GREAT NECK AREA LIBRARY,1251 BAYNE DRIVE,VIRGINIA BEACH,23454,VIRGINIA BEACH,11821,-1,-1,-76.034591,36.86587
VA,WINDSOR WOODS AREA LIBRARY,3612 S. PLAZA TRAIL,VIRGINIA BEACH,23452,VIRGINIA BEACH,-3,-3,-3,-76.096649,36.82986
VA,BOOKMOBILE AND OUTREACH SERVICES,1503 COMPETITOR COURT,VIRGINIA BEACH,23456,VIRGINIA BEACH,-3,-1,-1,-76.09628,36.790236
VA,MUNICIPAL RESEARCH AND RECORDS CENTER,"MUNICIPAL CENTER, BUILDING 17",VIRGINIA BEACH,23456,VIRGINIA BEACH,-3,-3,-3,-76.055258,36.75244
VA,WAHAB PUBLIC LAW LIBRARY,COURT SUPPORT BUILDING 10B,VIRGINIA BEACH,23456,VIRGINIA BEACH,5000,-1,-1,-76.062931,36.75486
VA,PUNGO-BLACKWATER LIBRARY,922 PRINCESS ANNE ROAD,VIRGINIA BEACH,23457,VIRGINIA BEACH,4300,-1,-1,-76.037523,36.63857
VA,SOUTH ROSEMONT YOUTH LIBRARY,1503 COMPETITOR COURT,VIRGINIA BEACH,23456,VIRGINIA BEACH,5000,-1,-1,-76.09628,36.79023
VA,PRINCESS ANNE AREA LIBRARY,1440 NIMMO PARKWAY,VIRGINIA BEACH,23456,VIRGINIA BEACH,16000,-1,-1,-76.021702,36.7634
VA,WALTER CECIL RAWLS LIBRARY,22511 MAIN STREET,COURTLAND,23837,SOUTHAMPTON,10600,-1,-1,-77.062847,36.71151
VA,CARROLLTON PUBLIC LIBRARY,14362 NEW TOWNE HAVEN LANE,CARROLLTON,23314,ISLE OF WIGHT,5500,-1,-1,-76.556375,36.94067
VA,TROXLER MEMORIAL LIBRARY,100 WILSON AVENUE,WAKEFIELD,23888,SUSSEX,1219,-1,-1,-76.987908,36.97208
