zipcode,state,actual_med_income,predicted_med_income,residual,abs_residual
3841,33,93566,74586.77778,18979.22222,18979.22222
3842,33,67251,56296.87424,10954.12576,10954.12576
3844,33,114000,74586.77778,39413.22222,39413.22222
3845,33,49676,41685.6773,7990.322702,7990.322702
3846,33,73182,56296.87424,16885.12576,16885.12576
3847,33,80524,49992.02349,30531.97651,30531.97651
3848,33,65579,74586.77778,-9007.777778,9007.777778
3849,33,53523,47083.97236,6439.027643,6439.027643
3850,33,69519,49992.02349,19526.97651,19526.97651
3851,33,61947,56296.87424,5650.125761,5650.125761
3852,33,39583,49992.02349,-10409.02349,10409.02349
3853,33,64583,56296.87424,8286.125761,8286.125761
3854,33,103269,74586.77778,28682.22222,28682.22222
3855,33,78472,56296.87424,22175.12576,22175.12576
3856,33,113125,74586.77778,38538.22222,38538.22222
3857,33,57625,56296.87424,1328.125761,1328.125761
3858,33,78819,72575.51374,6243.486264,6243.486264
3860,33,42967,41685.6773,1281.322702,1281.322702
3861,33,93527,74586.77778,18940.22222,18940.22222
3862,33,78596,74586.77778,4009.222222,4009.222222
3865,33,75224,61723.9646,13500.0354,13500.0354
3867,33,46704,47083.97236,-379.9723566,379.9723566
3868,33,53598,47083.97236,6514.027643,6514.027643
3869,33,62798,56296.87424,6501.125761,6501.125761
3870,33,95000,74586.77778,20413.22222,20413.22222
3872,33,48900,49992.02349,-1092.02349,1092.02349
3873,33,79623,61723.9646,17899.0354,17899.0354
3874,33,54167,50789.89723,3377.102767,3377.102767
3875,33,56744,56296.87424,447.1257606,447.1257606
3878,33,53241,41685.6773,11555.3227,11555.3227
3882,33,45156,47083.97236,-1927.972357,1927.972357
3883,33,128281,41685.6773,86595.3227,86595.3227
3884,33,93629,56296.87424,37332.12576,37332.12576
3885,33,108713,74586.77778,34126.22222,34126.22222
3886,33,39643,47083.97236,-7440.972357,7440.972357
3887,33,48214,56296.87424,-8082.874239,8082.874239
3890,33,16278,49992.02349,-33714.02349,33714.02349
3894,33,65903,56296.87424,9606.125761,9606.125761
3901,23,63264,61723.9646,1540.035398,1540.035398
3902,23,76625,81702.10886,-5077.108861,5077.108861
3903,23,78156,86257.43155,-8101.431555,8101.431555
3904,23,63378,61723.9646,1654.035398,1654.035398
3905,23,54559,86257.43155,-31698.43155,31698.43155
3906,23,68776,61723.9646,7052.035398,7052.035398
3907,23,57457,68283.34201,-10826.34201,10826.34201
3908,23,79172,72575.51374,6596.486264,6596.486264
3910,23,48667,74586.77778,-25919.77778,25919.77778
3911,23,9338,74586.77778,-65248.77778,65248.77778
4001,23,57222,61723.9646,-4501.964602,4501.964602
4002,23,61662,57670.76667,3991.233333,3991.233333
4003,23,46467,74586.77778,-28119.77778,28119.77778
4005,23,46125,49992.02349,-3867.02349,3867.02349
4006,23,68036,74586.77778,-6550.777778,6550.777778
4009,23,41607,49992.02349,-8385.02349,8385.02349
4010,23,45592,49992.02349,-4400.02349,4400.02349
4011,23,54758,61723.9646,-6965.964602,6965.964602
4015,23,46888,61723.9646,-14835.9646,14835.9646
4017,23,60179,86257.43155,-26078.43155,26078.43155
4020,23,43864,49992.02349,-6128.02349,6128.02349
4021,23,91622,93776.34667,-2154.346667,2154.346667
4022,23,47500,49992.02349,-2492.02349,2492.02349
4024,23,61250,49992.02349,11257.97651,11257.97651
4032,23,67382,72575.51374,-5193.513736,5193.513736
4037,23,43110,46295.85534,-3185.855337,3185.855337
4038,23,75833,72575.51374,3257.486264,3257.486264
4040,23,53819,49992.02349,3826.97651,3826.97651
4043,23,75357,72575.51374,2781.486264,2781.486264
4049,23,57567,61723.9646,-4156.964602,4156.964602
4050,23,46250,74586.77778,-28336.77778,28336.77778
4051,23,61964,49992.02349,11971.97651,11971.97651
4055,23,57831,61723.9646,-3892.964602,3892.964602
4056,23,33250,47083.97236,-13833.97236,13833.97236
4061,23,72548,68283.34201,4264.657993,4264.657993
4063,23,40563,49992.02349,-9429.02349,9429.02349
4064,23,46089,52754.76619,-6665.766187,6665.766187
4066,23,88125,61723.9646,26401.0354,26401.0354
4068,23,46250,49992.02349,-3742.02349,3742.02349
4069,23,62000,86257.43155,-24257.43155,24257.43155
4071,23,64797,72575.51374,-7778.513736,7778.513736
4073,23,44639,46295.85534,-1656.855337,1656.855337
4074,23,77034,92801.75,-15767.75,15767.75
4076,23,56969,57670.76667,-701.7666667,701.7666667
4079,23,71615,74586.77778,-2971.777778,2971.777778
4083,23,47933,46295.85534,1637.144663,1637.144663
4085,23,60938,61723.9646,-785.9646018,785.9646018
4086,23,61607,68283.34201,-6676.342007,6676.342007
4087,23,62763,57670.76667,5092.233333,5092.233333
4088,23,42904,47083.97236,-4179.972357,4179.972357
4090,23,60460,61723.9646,-1263.964602,1263.964602
4091,23,54792,49992.02349,4799.97651,4799.97651
4092,23,44465,52754.76619,-8289.766187,8289.766187
4093,23,58519,61723.9646,-3204.964602,3204.964602
4095,23,39345,51484.22667,-12139.22667,12139.22667
4097,23,77813,93776.34667,-15963.34667,15963.34667
4101,23,31334,41685.6773,-10351.6773,10351.6773
4102,23,46376,52754.76619,-6378.766187,6378.766187
4103,23,54239,52754.76619,1484.233813,1484.233813
4105,23,95567,107168.6996,-11601.69957,11601.69957
4106,23,52858,52754.76619,103.2338129,103.2338129
4107,23,98629,107168.6996,-8539.699571,8539.699571
4108,23,44091,86257.43155,-42166.43155,42166.43155
4109,23,71250,74586.77778,-3336.777778,3336.777778
4110,23,110288,116485.2,-6197.2,6197.2
4210,23,45449,46295.85534,-846.8553371,846.8553371
4216,23,35341,43510.07883,-8169.07883,8169.07883
4219,23,39608,43510.07883,-3902.07883,3902.07883
4221,23,42895,46295.85534,-3400.855337,3400.855337
4222,23,66681,68283.34201,-1602.342007,1602.342007
4224,23,44575,48717.85045,-4142.850451,4142.850451
4226,23,35313,43510.07883,-8197.07883,8197.07883
4227,23,61250,43510.07883,17739.92117,17739.92117
4231,23,46750,49992.02349,-3242.02349,3242.02349
4234,23,14459,43510.07883,-29051.07883,29051.07883
4236,23,67572,57670.76667,9901.233333,9901.233333
4237,23,31250,51484.22667,-20234.22667,20234.22667
4239,23,49849,43510.07883,6338.92117,6338.92117
4252,23,46382,46295.85534,86.14466292,86.14466292
